BRANCH;BRANCH_CODE;FILIAL_NAME;STREET_HOUSE;CALCULATION_COMPANY;DELIVER;SERVICE;CHARGE_PLAN;CHARGE_PLAN_WITH_D_G;DISCOUNT;GRANT;MAKET;MAKET_DISCOUNT;RETURN;RETURN_DISCOUNT;CHARGE_FACT;CHARGE_FACT_PENI;MAKET_PENI
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 2;юн "яхащйн";юн "яхащйн";цнп.бндю;0.00;0.00;0.00;0.00;-196.71;0.00;0.00;0.00;-196.71;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 3;юн "яхащйн";юн "яхащйн";цнп.бндю;0.00;0.00;0.00;0.00;-139.18;0.00;0.00;0.00;-139.18;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 7;юн "яхащйн";юн "яхащйн";цнп.бндю;0.00;0.00;0.00;0.00;-5276.87;0.00;0.00;0.00;-5276.87;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 7;юн "яхащйн";юн "яхащйн";нрнокемхе;0.00;0.00;0.00;0.00;-275.70;0.00;0.00;0.00;-275.70;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 9;юн "яхащйн";юн "яхащйн";цнп.бндю;0.00;0.00;0.00;0.00;-440.85;0.00;0.00;0.00;-440.85;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 11;юн "яхащйн";юн "яхащйн";цнп.бндю;0.00;0.00;0.00;0.00;-66.49;0.00;0.00;0.00;-66.49;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 13;юн "яхащйн";юн "яхащйн";цнп.бндю;0.00;0.00;0.00;0.00;-2598.60;0.00;0.00;0.00;-2598.60;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 13;юн "яхащйн";юн "яхащйн";нрнокемхе;0.00;0.00;0.00;0.00;-10000.00;0.00;0.00;0.00;-10000.00;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 14;юн "яхащйн";юн "яхащйн";цнп.бндю;0.00;0.00;0.00;0.00;-167.13;0.00;0.00;0.00;-167.13;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 15;юн "яхащйн";юн "яхащйн";цнп.бндю;0.00;0.00;0.00;0.00;201.46;0.00;0.00;0.00;201.46;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 16;юн "яхащйн";юн "яхащйн";цнп.бндю;0.00;0.00;0.00;0.00;-307.75;0.00;0.00;0.00;-307.75;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 1ю;юн "яхащйн";юн "яхащйн";цнп.бндю;0.00;0.00;0.00;0.00;-2873.82;0.00;0.00;0.00;-2873.82;0.00;0.00
тцсо "фйу ммж";26;фщс-1;янкмевмнцнпяйюъ 1;юн "яхащйн";юн "яхащйн";цнп.бндю;0.00;0.00;0.00;0.00;200.01;0.00;0.00;0.00;200.01;0.00;0.00
тцсо "фйу ммж";26;фщс-1;янкмевмнцнпяйюъ 3;юн "яхащйн";юн "яхащйн";цнп.бндю;0.00;0.00;0.00;0.00;-44.96;0.00;0.00;0.00;-44.96;0.00;0.00
тцсо "фйу ммж";26;фщс-1;янкмевмнцнпяйюъ 5;юн "яхащйн";юн "яхащйн";цнп.бндю;0.00;0.00;0.00;0.00;256.70;0.00;0.00;0.00;256.70;0.00;0.00
тцсо "фйу ммж";26;фщс-1;янкмевмнцнпяйюъ 9;юн "яхащйн";юн "яхащйн";цнп.бндю;0.00;0.00;0.00;0.00;1911.96;0.00;0.00;0.00;1911.96;0.00;0.00
тцсо "фйу ммж";26;фщс-1;янкмевмнцнпяйюъ 11;юн "яхащйн";юн "яхащйн";цнп.бндю;0.00;0.00;0.00;0.00;2658.12;0.00;0.00;0.00;2658.12;0.00;0.00
тцсо "фйу ммж";26;фщс-1;янкмевмнцнпяйюъ 13;юн "яхащйн";юн "яхащйн";цнп.бндю;0.00;0.00;0.00;0.00;-1.54;0.00;0.00;0.00;-1.54;0.00;0.00
тцсо "фйу ммж";26;фщс-1;янкмевмнцнпяйюъ 15;юн "яхащйн";юн "яхащйн";цнп.бндю;0.00;0.00;0.00;0.00;262.89;0.00;0.00;0.00;262.89;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 2;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;2139.02;2139.02;0.00;0.00;-11.02;0.00;0.00;0.00;2128.00;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 2;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;1743.70;1743.70;0.00;0.00;-16.23;0.00;0.00;0.00;1727.47;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 3;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;2968.67;2968.67;0.00;0.00;-95.74;0.00;0.00;0.00;2872.93;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 3;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;2344.91;2344.91;0.00;0.00;-100.88;0.00;0.00;0.00;2244.03;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 4;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;2252.58;2252.58;0.00;0.00;0.00;0.00;0.00;0.00;2252.58;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 4;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;1448.34;1448.34;0.00;0.00;0.00;0.00;0.00;0.00;1448.34;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 5;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;2572.53;2572.53;0.00;0.00;-2705.56;0.00;0.00;0.00;-133.03;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 5;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;1937.39;1937.39;0.00;0.00;-3525.03;0.00;0.00;0.00;-1587.64;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 7;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;3751.83;3751.83;0.00;0.00;-1673.93;0.00;0.00;0.00;2077.90;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 7;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;3084.39;3084.39;0.00;0.00;-1276.14;0.00;0.00;0.00;1808.25;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 9;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;1771.53;1771.53;0.00;0.00;-88.27;0.00;0.00;0.00;1683.26;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 9;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;1657.72;1657.72;0.00;0.00;-39.40;0.00;0.00;0.00;1618.32;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 11;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;2909.90;2909.90;0.00;0.00;-32.72;0.00;0.00;0.00;2877.18;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 11;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;2275.37;2275.37;0.00;0.00;-31.24;0.00;0.00;0.00;2244.13;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 13;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;4272.69;4272.69;0.00;0.00;-9064.19;0.00;0.00;0.00;-4791.50;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 13;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;3498.86;3498.86;0.00;0.00;-9653.73;0.00;0.00;0.00;-6154.87;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 14;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;9451.83;9451.83;0.00;0.00;-6.30;0.00;0.00;0.00;9445.53;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 14;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;7448.27;7448.27;0.00;0.00;-11.70;0.00;0.00;0.00;7436.57;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 15;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;3887.31;3887.31;0.00;0.00;88.77;0.00;0.00;0.00;3976.08;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 15;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;3188.08;3188.08;0.00;0.00;81.12;0.00;0.00;0.00;3269.20;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 16;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;4103.69;4103.69;0.00;0.00;116.09;0.00;0.00;0.00;4219.78;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 16;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;3801.18;3801.18;0.00;0.00;204.01;0.00;0.00;0.00;4005.19;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 1ю;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;3579.60;3579.60;0.00;0.00;-1099.92;0.00;0.00;0.00;2479.68;0.00;0.00
тцсо "фйу ммж";26;фщс-1;анпнбюъ оюпрхъ 1ю;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;2835.01;2835.01;0.00;0.00;-940.27;0.00;0.00;0.00;1894.74;0.00;0.00
тцсо "фйу ммж";26;фщс-1;беяеммхи 4;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;8524.89;8524.89;0.00;0.00;-40.41;0.00;0.00;0.00;8484.48;0.00;0.00
тцсо "фйу ммж";26;фщс-1;беяеммхи 4;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;7183.97;7183.97;0.00;0.00;-29.30;0.00;0.00;0.00;7154.67;0.00;0.00
тцсо "фйу ммж";26;фщс-1;беяеммхи 6;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;8492.40;8492.40;0.00;0.00;-255.62;0.00;0.00;0.00;8236.78;0.00;0.00
тцсо "фйу ммж";26;фщс-1;беяеммхи 6;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;7193.66;7193.66;0.00;0.00;-1.13;0.00;0.00;0.00;7192.53;0.00;0.00
тцсо "фйу ммж";26;фщс-1;беяеммхи 4ю;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;12924.44;12924.44;0.00;0.00;-129.40;0.00;0.00;0.00;12795.04;0.00;0.00
тцсо "фйу ммж";26;фщс-1;беяеммхи 4ю;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;10271.01;10271.01;0.00;0.00;-112.09;0.00;0.00;0.00;10158.92;0.00;0.00
тцсо "фйу ммж";26;фщс-1;деряйхи 3;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;4784.65;4784.65;0.00;0.00;-288.66;0.00;0.00;0.00;4495.99;0.00;0.00
тцсо "фйу ммж";26;фщс-1;деряйхи 3;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;3656.82;3656.82;0.00;0.00;-139.02;0.00;0.00;0.00;3517.80;0.00;0.00
тцсо "фйу ммж";26;фщс-1;деряйхи 4;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;4359.89;4359.89;0.00;0.00;42.88;0.00;0.00;0.00;4402.77;0.00;0.00
тцсо "фйу ммж";26;фщс-1;деряйхи 4;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;3589.42;3589.42;0.00;0.00;61.28;0.00;0.00;0.00;3650.70;0.00;0.00
тцсо "фйу ммж";26;фщс-1;деряйхи 5;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;3704.98;3704.98;0.00;0.00;7.17;0.00;0.00;0.00;3712.15;0.00;0.00
тцсо "фйу ммж";26;фщс-1;деряйхи 5;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;3631.81;3631.81;0.00;0.00;7.50;0.00;0.00;0.00;3639.31;0.00;0.00
тцсо "фйу ммж";26;фщс-1;деряйхи 7;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;2064.59;2064.59;0.00;0.00;-12.27;0.00;0.00;0.00;2052.32;0.00;0.00
тцсо "фйу ммж";26;фщс-1;деряйхи 7;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;1716.56;1716.56;0.00;0.00;-5.48;0.00;0.00;0.00;1711.08;0.00;0.00
тцсо "фйу ммж";26;фщс-1;деряйхи 9;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;3371.22;3371.22;0.00;0.00;-16.42;0.00;0.00;0.00;3354.80;0.00;0.00
тцсо "фйу ммж";26;фщс-1;деряйхи 9;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;3024.74;3024.74;0.00;0.00;-17.15;0.00;0.00;0.00;3007.59;0.00;0.00
тцсо "фйу ммж";26;фщс-1;фелвсфмюъ 2;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;5545.02;5545.02;0.00;0.00;0.00;0.00;0.00;0.00;5545.02;0.00;0.00
тцсо "фйу ммж";26;фщс-1;фелвсфмюъ 2;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;4508.68;4508.68;0.00;0.00;0.00;0.00;0.00;0.00;4508.68;0.00;0.00
тцсо "фйу ммж";26;фщс-1;фелвсфмюъ 4;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;4036.15;4036.15;0.00;0.00;-93.32;0.00;0.00;0.00;3942.83;0.00;0.00
тцсо "фйу ммж";26;фщс-1;фелвсфмюъ 4;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;3364.71;3364.71;0.00;0.00;-70.49;0.00;0.00;0.00;3294.22;0.00;0.00
тцсо "фйу ммж";26;фщс-1;фелвсфмюъ 6;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";бндннрбедемхе;5029.78;5029.78;0.00;0.00;0.00;0.00;0.00;0.00;5029.78;0.00;0.00
тцсо "фйу ммж";26;фщс-1;фелвсфмюъ 6;лсо "цнпбнднйюмюк";лсо "цнпбнднйюмюк";унк.бндю;4232.67;4232.67;0.00;0.00;0.00;0.00;0.00;0.00;4232.67;0.00;0.00
